,name,handedness,height,weight,avg,HR,Hand
46,Eric Soderholm,R,71,187,0.264,102,Right
21,Eric Wilkins,R,73,190,0.0,0,Right
574,Felix Millan,R,71,172,0.279,22,Right
687,Felix Torres,R,71,165,0.254,27,Right
450,Fergie Jenkins,R,77,205,0.165,13,Right
209,Fernando Arroyo,R,74,180,0.0,0,Right
475,Fernando Gonzalez,R,70,165,0.235,17,Right
1144,Floyd Rayford,R,70,190,0.244,38,Right
112,Floyd Robinson,L,69,175,0.283,67,Left
609,Fran Healy,R,77,220,0.25,20,Right
410,Francisco Barrios,R,71,155,0.0,0,Right
583,Frank Dimichele,R,75,205,0.0,0,Right
1151,Frank Duffy,R,73,180,0.232,26,Right
746,Frank Eufemia,R,71,185,0.0,0,Right
442,Frank Fernandez,R,72,185,0.199,39,Right
904,Frank Quilici,R,73,170,0.214,5,Right
260,Frank Taveras,R,72,155,0.255,2,Right
13,Frank Tepedino,L,71,185,0.241,6,Left
100,Frank White,R,71,165,0.255,160,Right
961,Fred Howard,R,75,190,0.0,0,Right
1035,Fred Kendall,R,73,185,0.234,31,Right
293,Fred Lynn,L,73,185,0.283,306,Left
460,Fred Norman,B,68,155,0.125,0,Both
540,Fred Stanley,R,70,165,0.216,10,Right
39,Fred Whitfield,L,73,190,0.253,108,Left
1017,Freddie Patek,R,65,148,0.242,41,Right
6,Fritz Peterson,B,72,185,0.159,2,Both
1128,Gail Hopkins,L,70,198,0.266,25,Left
184,Garry Hancock,L,72,175,0.247,12,Left
571,Garry Maddox,R,75,175,0.285,117,Right
980,Garth Iorg,R,71,170,0.258,20,Right
891,Gary Alexander,R,74,195,0.23,55,Right
366,Gary Allenson,R,71,185,0.221,19,Right
210,Gary Beare,R,76,205,0.0,0,Right
712,Gary Christenson,L,77,200,0.0,0,Left
546,Gary Gray,R,72,187,0.24,24,Right
391,Gary Ignasiak,R,71,185,0.0,0,Right
1152,Gary Lance,B,75,195,0.0,0,Both
287,Gary Matthews,R,74,185,0.281,234,Right
314,Gary Mielke,R,75,185,0.0,0,Right
37,Gary Nolan,R,74,197,0.138,1,Right
198,Gary Roenicke,R,75,205,0.247,121,Right
1115,Gary Sutherland,R,72,185,0.243,24,Right
104,Gary Thomasson,L,73,180,0.249,61,Left
705,Gary Ward,R,74,195,0.276,130,Right
479,Gary Wheelock,R,75,205,0.0,0,Right
345,Gary Woods,R,74,185,0.243,13,Right
434,Gates Brown,L,71,220,0.257,84,Left
591,Gaylord Perry,R,76,205,0.131,6,Right
398,Gene Alley,R,70,160,0.254,55,Right
32,Gene Clines,R,69,170,0.277,5,Right
59,Gene Locklear,L,70,165,0.274,9,Left
1047,Gene Michael,B,74,183,0.229,15,Both
613,Gene Richards,L,72,175,0.29,26,Left
1074,Gene Tenace,R,72,190,0.241,201,Right
239,George Foster,R,73,180,0.274,348,Right
280,George Hendrick,R,75,195,0.278,267,Right
268,George Mitterwald,R,74,195,0.236,76,Right
533,George Scott,R,74,200,0.268,271,Right
566,George Smith,R,70,170,0.205,9,Right
352,George Vukovich,L,72,198,0.268,27,Left
768,George Wright,B,71,180,0.245,42,Both
1055,Gil Garrido,R,69,150,0.237,1,Right
38,Gil Patterson,R,73,185,0.0,0,Right
889,Glen Cook,R,71,180,0.0,0,Right
670,Glenn Adams,L,73,180,0.28,34,Left
1093,Glenn Beckert,R,73,190,0.283,22,Right
429,Glenn Borgmann,R,76,210,0.229,16,Right
329,Glenn Burke,R,72,195,0.237,2,Right
920,Glenn Hoffman,R,73,175,0.242,23,Right
278,Glenn Hubbard,R,69,150,0.244,70,Right
954,Gorman Heimueller,L,76,195,0.0,0,Left
536,Gorman Thomas,R,74,210,0.225,268,Right
295,Graig Nettles,L,72,180,0.248,390,Left
577,Greg Erardi,R,73,190,0.0,0,Right
146,Greg Gross,L,70,160,0.287,7,Left
627,Greg Luzinski,R,73,220,0.276,307,Right
773,Greg Pryor,R,72,180,0.25,14,Right
219,Greg Thayer,R,71,182,0.0,0,Right
646,Greg Walker,L,75,205,0.26,113,Left
1031,Hal Breeden,R,74,200,0.243,21,Right
881,Hal King,L,73,200,0.214,24,Left
770,Hal Lanier,R,74,180,0.228,8,Right
205,Hal McRae,R,71,180,0.29,191,Right
992,Hank Allen,R,72,190,0.241,6,Right
1008,Harry Spilman,L,73,180,0.237,18,Left
459,Hector Cruz,R,71,170,0.225,39,Right
81,Hector Torres,R,72,175,0.216,18,Right
229,Horace Clarke,B,69,170,0.256,27,Both
702,Hosken Powell,L,73,175,0.259,17,Left
829,Howard Bailey,R,72,195,0.0,0,Right
428,Howie Goss,R,76,204,0.216,11,Right
528,Ike Brookens,R,77,170,0.0,0,Right
427,Ike Brown,R,72,190,0.256,20,Right
285,Israel Sanchez,L,69,170,0.0,0,Left
36,Ivan DeJesus,R,71,175,0.254,21,Right
978,Ivan Murrell,R,74,195,0.236,33,Right
720,J.R. Richard,R,80,222,0.168,10,Right
34,Jack Billingham,R,76,195,0.111,0,Right
149,Jack Brohamer,L,70,165,0.245,30,Left
376,Jack Hardy,R,74,175,0.0,0,Right
75,Jack Heidemann,R,72,175,0.211,9,Right
519,Jack Hiatt,R,74,190,0.251,22,Right
751,Jack Lazorko,R,71,200,0.0,0,Right
1058,Jack Perconte,L,70,160,0.27,2,Left
1033,Jackie Gutierrez,R,71,175,0.237,4,Right
311,Jackie Hernandez,R,71,165,0.208,12,Right
825,Jaime Cocanower,R,76,200,0.0,0,Right
183,Jake Gibbs,L,72,180,0.233,25,Left
974,Jake Wood,R,73,163,0.25,35,Right
1096,Jason Thompson,L,76,200,0.261,208,Left
167,Jay Johnstone,L,73,175,0.267,102,Left
888,Jay Pettibone,R,76,182,0.0,0,Right
20,Jeff Barkley,B,75,185,0.0,0,Both
830,Jeff Bettendorf,R,75,180,0.0,0,Right
347,Jeff Burroughs,R,73,200,0.261,240,Right
11,Jeff Byrd,R,75,195,0.0,0,Right
1135,Jeff Holly,L,77,210,0.0,0,Left
1106,Jeff Jones,R,75,210,0.0,0,Right
28,Jeff Newman,R,74,215,0.224,63,Right
532,Jeff Peterek,R,74,195,0.0,0,Right
869,Jeff Richardson,R,75,185,0.0,0,Right
650,Jeff Rineer,L,76,205,0.0,0,Left
527,Jeff Schattinger,L,77,200,0.0,0,Left
489,Jeff Schneider,B,75,195,0.0,0,Both
826,Jeff Sellers,R,73,175,0.0,0,Right
534,Jeff Shaver,R,75,195,0.0,0,Right
136,Jeff Stone,L,72,175,0.277,11,Left
817,Jeff Torborg,R,72,195,0.214,8,Right
558,Jeff Twitty,L,74,185,0.0,0,Left
69,Jeffrey Leonard,R,74,200,0.266,144,Right
1131,Jerry Augustine,L,72,183,0.0,0,Left
35,Jerry Buchek,R,71,185,0.22,22,Right
1111,Jerry Dybzinski,R,74,180,0.234,3,Right
43,Jerry Garvin,L,75,195,0.0,0,Left
1060,Jerry Grote,R,70,185,0.252,39,Right
525,Jerry Hairston,B,70,170,0.258,30,Both
1034,Jerry Kenney,L,73,170,0.237,7,Left
83,Jerry Koosman,R,74,205,0.119,2,Right
14,Jerry Kutzler,L,73,175,0.0,0,Left
653,Jerry Martin,R,73,195,0.251,85,Right
553,Jerry May,R,74,190,0.234,15,Right
662,Jerry McNertney,R,72,180,0.237,27,Right
987,Jerry Morales,R,70,155,0.259,95,Right
1025,Jerry Moses,R,75,210,0.251,25,Right
1091,Jerry Mumphrey,B,74,185,0.289,70,Both
641,Jerry Narron,L,75,205,0.211,21,Left
1149,Jerry Remy,L,69,165,0.275,7,Left
412,Jerry Reuss,L,77,200,0.167,1,Left
648,Jerry Royster,R,72,165,0.249,40,Right
1107,Jerry Terrell,R,71,165,0.253,4,Right
821,Jerry Turner,L,69,180,0.257,45,Left
57,Jerry Ujdur,R,73,195,0.0,0,Right
240,Jerry White,B,70,164,0.253,21,Both
750,Jerry Zimmerman,R,74,185,0.204,3,Right
1114,Jesse Gonder,L,70,180,0.251,26,Left
436,Jesus Alou,R,74,190,0.28,32,Right
463,Jim Anderson,R,72,170,0.218,13,Right
1148,Jim Barr,R,75,205,0.162,1,Right
1062,Jim Beauchamp,R,74,190,0.231,14,Right
807,Jim Burton,R,75,195,0.0,0,Right
903,Jim Campbell,L,71,175,0.0,0,Left
797,Jim Dorsey,R,79,190,0.0,0,Right
549,Jim Dwyer,L,70,165,0.26,77,Left
567,Jim Essian,R,74,195,0.244,33,Right
101,Jim Fairey,L,70,190,0.235,7,Left
578,Jim Farr,R,73,195,0.0,0,Right
993,Jim Fregosi,R,73,190,0.265,151,Right
244,Jim French,L,68,180,0.196,5,Left
552,Jim Gideon,R,75,190,0.0,0,Right
580,Jim Gosger,L,71,185,0.226,30,Left
33,Jim Hickman,R,75,192,0.252,159,Right
