,Name,handedness,Height(Inch),Weight(Pound),Avg(%),HR,Hand
88,Bob Boone,R,74,195,0.254,105,Right
89,Bob Brenly,R,74,210,0.247,91,Right
90,Bob Brower,R,71,185,0.242,17,Right
91,Bob Burda,L,71,174,0.224,13,Left
92,Bob Chance,L,74,196,0.261,24,Left
93,Bob Coluccio,R,71,183,0.22,26,Right
94,Bob Davidson,R,72,185,0,0,Right
95,Bob Davis,R,72,180,0.197,6,Right
96,Bob Dernier,R,72,160,0.255,23,Right
97,Bob Didier,B,72,190,0.229,0,Both
98,Bob Fallon,L,75,200,0,0,Left
99,Bob Ferris,R,78,225,0,0,Right
100,Bob Forsch,R,76,200,0.213,12,Right
101,Bob Galasso,L,73,205,0,0,Left
102,Bob Heise,R,72,175,0.247,1,Right
103,Bob Horner,R,73,195,0.277,218,Right
104,Bob Johnson,R,70,175,0.272,44,Right
105,Bob Jones,L,74,195,0.221,20,Left
106,Bob Kammeyer,R,76,210,0,0,Right
107,Bob Kearney,R,72,190,0.233,27,Right
108,Bob Knepper,L,75,195,0.137,6,Left
109,Bob Meacham,B,73,175,0.236,8,Both
110,Bob Molinaro,L,72,190,0.264,14,Left
111,Bob Montgomery,R,73,195,0.258,23,Right
112,Bob Oliver,R,75,205,0.256,94,Right
113,Bob Randall,R,74,175,0.257,1,Right
114,Bob Robertson,R,73,195,0.242,115,Right
115,Bob Stinson,B,71,180,0.25,33,Both
116,Bob Tillman,R,76,205,0.232,79,Right
117,Bob Uecker,R,73,190,0.2,14,Right
118,Bob Veale,B,78,212,0.114,0,Both
119,Bob Veselic,R,72,175,0,0,Right
120,Bob Watson,R,72,201,0.295,184,Right
121,Bobby Bonds,R,73,190,0.268,332,Right
122,Bobby Brown,B,74,190,0.245,26,Both
123,Bobby Clark,R,72,190,0.239,19,Right
124,Bobby Cox,R,71,180,0.225,9,Right
125,Bobby Cuellar,R,71,188,0,0,Right
126,Bobby Darwin,R,74,190,0.251,83,Right
127,Bobby Grich,R,74,180,0.266,224,Right
128,Bobby Klaus,R,70,170,0.208,6,Right
129,Bobby Knoop,R,73,170,0.236,56,Right
130,Bobby Mitchell,R,75,185,0.235,21,Right
131,Bobby Mitchell,L,70,170,0.243,3,Left
132,Bobby Murcer,L,71,160,0.277,252,Left
133,Bobby Tolan,L,71,170,0.265,86,Left
134,Bobby Valentine,R,70,189,0.26,12,Right
135,Bobby Wine,R,73,187,0.215,30,Right
136,Bombo Rivera,R,70,187,0.265,10,Right
137,Boog Powell,L,76,230,0.266,339,Left
138,Boots Day,L,69,160,0.256,8,Left
139,Brad Wellman,R,72,170,0.231,6,Right
140,Brant Alyea,R,75,215,0.247,38,Right
141,Brian Allard,R,73,175,0,0,Right
142,Brian Asselstine,L,73,175,0.254,12,Left
143,Brian Denman,R,76,205,0,0,Right
144,Brian Dubois,L,70,165,0,0,Left
145,Brian Giles,R,73,165,0.228,10,Right
146,Brian Snyder,L,75,185,0,0,Left
147,Britt Burns,L,77,215,0,0,Left
148,Brock Davis,L,70,160,0.26,1,Left
149,Broderick Perkins,L,70,180,0.271,8,Left
150,Bruce Benedict,R,73,175,0.242,18,Right
151,Bruce Bochte,L,75,195,0.282,100,Left
152,Bruce Bochy,R,75,205,0.239,26,Right
153,Bruce Boisclair,L,74,185,0.263,10,Left
154,Bruce Ellingsen,L,72,180,0,0,Left
155,Bruce Miller,R,73,185,0.246,1,Right
156,Bruce Robbins,L,73,190,0,0,Left
157,Bruce Tanner,L,75,220,0,0,Left
158,Bruce Taylor,R,72,178,0,0,Right
159,Bryan Clutterbuck,R,76,223,0,0,Right
160,Bryan Kelly,R,74,195,0,0,Right
161,Bryan Little,B,70,160,0.245,3,Both
162,Bryan Oelkers,L,75,192,0,0,Left
163,Bubba Morton,R,70,175,0.267,14,Right
164,Buck Martinez,R,70,190,0.225,58,Right
165,Buck Rodgers,B,74,190,0.232,31,Both
166,Bucky Dent,R,69,170,0.247,40,Right
167,Bud Anderson,R,75,210,0,0,Right
168,Bud Harrelson,B,71,160,0.236,7,Both
169,Buddy Bell,R,73,180,0.279,201,Right
170,Buddy Biancalana,B,71,160,0.205,6,Both
171,Buddy Bradford,R,71,170,0.226,52,Right
172,Bump Wills,B,69,172,0.266,36,Both
173,Burt Hooton,R,73,210,0.123,4,Right
174,Butch Edge,R,75,203,0,0,Right
175,Butch Hobson,R,73,193,0.248,98,Right
176,Butch Wynegar,B,73,190,0.255,65,Both
177,Byron Browne,R,74,190,0.236,30,Right
178,Byron McLaughlin,R,73,175,0,0,Right
179,Cap Peterson,R,74,195,0.23,19,Right
180,Cardell Camper,R,75,208,0,0,Right
181,Carl Morton,R,72,200,0.156,7,Right
182,Carl Taylor,R,74,200,0.266,10,Right
183,Carl Warwick,R,70,170,0.248,31,Right
184,Carl Yastrzemski,L,71,175,0.285,452,Left
185,Carlos May,L,71,200,0.274,90,Left
186,Carlos Velazquez,R,71,180,0,0,Right
187,Carmen Fanzone,R,72,200,0.224,20,Right
188,Catfish Hunter,R,72,190,0.226,6,Right
189,Cecil Cooper,L,74,165,0.298,241,Left
190,Cesar Cedeno,R,74,175,0.285,199,Right
191,Cesar Geronimo,L,72,165,0.258,51,Left
192,Cesar Gutierrez,R,69,155,0.235,0,Right
193,Cesar Tovar,R,69,155,0.278,46,Right
194,Champ Summers,L,74,205,0.255,54,Left
195,Charley Smith,R,73,170,0.239,69,Right
196,Charlie James,R,73,195,0.255,29,Right
197,Charlie Mitchell,R,75,170,0,0,Right
198,Charlie Moore,R,71,180,0.261,36,Right
199,Charlie Spikes,R,75,215,0.246,65,Right
200,Chet Lemon,R,72,190,0.273,215,Right
201,Chico Escarrega,R,71,185,0,0,Right
202,Chico Ruiz,B,72,169,0.24,2,Both
203,Chico Salmon,R,70,160,0.249,31,Right
204,Chris Bando,B,72,195,0.227,27,Both
205,Chris Batton,R,76,195,0,0,Right
206,Chris Brown,R,72,185,0.269,38,Right
207,Chris Cannizzaro,R,72,190,0.235,18,Right
208,Chris Chambliss,L,73,195,0.279,185,Left
209,Chris Knapp,R,77,195,0,0,Right
210,Chris Speier,R,73,175,0.246,112,Right
211,Chuck Harrison,R,70,185,0.238,17,Right
212,Chuck Hiller,L,71,170,0.243,20,Left
213,Chuck Hinton,R,73,180,0.264,113,Right
214,Chuck Hockenbery,B,73,195,0,0,Both
215,Chuck Porter,R,75,187,0,0,Right
216,Chuck Schilling,R,70,160,0.239,23,Right
217,Cito Gaston,R,75,190,0.256,91,Right
218,Claudell Washington,L,72,190,0.278,164,Left
219,Clay Christiansen,R,77,205,0,0,Right
220,Clay Dalrymple,L,72,190,0.233,55,Left
221,Cleon Jones,R,72,185,0.281,93,Right
222,Cliff Johnson,R,76,215,0.258,196,Right
223,Clint Hurdle,L,75,195,0.259,32,Left
224,Clint Zavaras,R,73,175,0,0,Right
225,Coco Laboy,R,70,165,0.233,28,Right
226,Colby Ward,R,74,185,0,0,Right
227,Cookie Rojas,R,70,160,0.263,54,Right
228,Craig Chamberlain,R,73,190,0,0,Right
229,Craig Eaton,R,71,175,0,0,Right
230,Craig Kusick,R,75,210,0.235,46,Right
231,Craig Mitchell,R,75,180,0,0,Right
232,Craig Reynolds,L,73,175,0.256,42,Left
233,Craig Robinson,R,70,165,0.219,0,Right
234,Curt Blefary,L,74,195,0.237,112,Left
235,Curt Ford,L,70,150,0.245,7,Left
236,Curt Kaufman,R,74,175,0,0,Right
237,Curt Motton,R,68,164,0.213,25,Right
238,Curt Wardle,L,77,220,0,0,Left
239,Dal Maxvill,R,71,157,0.217,6,Right
240,Dale Berra,R,72,180,0.236,49,Right
241,Dalton Jones,L,73,180,0.235,41,Left
242,Damaso Garcia,R,73,165,0.283,36,Right
243,Dan Briggs,L,72,180,0.195,12,Left
244,Dan Driessen,L,71,187,0.267,153,Left
245,Dan Ford,R,73,185,0.27,121,Right
246,Dan Meyer,L,71,180,0.253,86,Left
247,Dan Morogiello,L,73,200,0,0,Left
248,Dane Iorg,L,72,180,0.276,14,Left
249,Danny Ainge,R,76,175,0.22,2,Right
250,Danny Cater,R,72,170,0.276,66,Right
251,Danny Fife,R,75,175,0,0,Right
252,Danny Goodwin,L,73,195,0.236,13,Left
253,Danny Thompson,R,72,183,0.248,15,Right
254,Danny Walton,R,72,195,0.223,28,Right
255,Darrel Chaney,B,74,188,0.217,14,Both
256,Darrell Brown,B,72,184,0.274,1,Both
257,Darrell Evans,L,74,200,0.248,414,Left
258,Darrell Porter,L,72,193,0.247,188,Left
259,Darryl Motley,R,69,196,0.243,44,Right
260,Daryl Sconiers,L,74,185,0.265,15,Left
261,Daryl Smith,R,76,185,0,0,Right
262,Dave Campbell,R,73,180,0.213,20,Right
263,Dave Cash,R,71,170,0.283,21,Right
264,Dave Chalk,R,70,175,0.252,15,Right
265,Dave Collins,B,71,175,0.272,32,Both
266,Dave Concepcion,R,74,155,0.267,101,Right
267,Dave Duncan,R,74,190,0.214,109,Right
268,Dave Edwards,R,72,170,0.237,14,Right
269,Dave Engle,R,75,210,0.262,31,Right
270,Dave Ford,R,76,190,0,0,Right
271,Dave Frost,R,78,235,0,0,Right
272,Dave Hilton,R,71,191,0.213,6,Right
273,Dave Hostetler,R,76,215,0.229,37,Right
274,Dave Johnson,R,73,183,0,0,Right
275,Dave Kingman,R,78,210,0.236,442,Right
276,Dave Lemanczyk,R,76,235,0,0,Right
277,Dave Marshall,L,73,182,0.246,16,Left
278,Dave May,L,70,186,0.251,96,Left
279,Dave McKay,B,73,195,0.229,21,Both
280,Dave McNally,R,71,185,0.133,9,Right
281,Dave Nelson,R,70,160,0.244,20,Right
282,Dave Nicholson,R,74,215,0.212,61,Right
283,Dave Rader,L,71,165,0.257,30,Left
284,Dave Rajsich,L,77,175,0,0,Left
285,Dave Revering,L,76,210,0.265,62,Left
286,Dave Roberts,R,75,215,0.239,49,Right
287,Dave Roberts,L,75,195,0.194,7,Left
288,Dave Rosello,R,71,160,0.236,10,Right
289,Dave Skaggs,R,74,200,0.241,3,Right
290,Dave Smith,R,73,190,0,0,Right
291,Dave Stapleton,R,73,178,0.271,41,Right
292,Dave Stapleton,L,73,185,0,0,Left
293,Davey Johnson,R,73,170,0.261,136,Right
294,Davey Lopes,R,69,170,0.263,155,Right
295,David Green,R,75,170,0.268,31,Right
296,De Wayne Buice,R,72,170,0,0,Right
297,De Wayne Vaughn,R,71,180,0,0,Right
298,Dean Chance,R,75,200,0.066,0,Right
299,Del Unser,L,73,180,0.258,87,Left
300,Denis Menke,R,72,185,0.25,101,Right
301,Dennis Burtt,R,72,180,0,0,Right
302,Dennis DeBarr,L,74,190,0,0,Left
303,Denny Doyle,L,69,175,0.25,16,Left
304,Denny Lemaster,R,73,182,0.13,4,Right
305,Denny McLain,R,73,185,0.133,1,Right
306,Deron Johnson,R,74,200,0.244,245,Right
307,Derrel Thomas,B,72,160,0.249,43,Both
308,Dewey Robinson,R,72,180,0,0,Right
309,Dick Allen,R,71,187,0.292,351,Right
310,Dick Bertell,R,72,200,0.25,10,Right
311,Dick Billings,R,73,195,0.227,16,Right
312,Dick Davis,R,75,190,0.265,27,Right
313,Dick Dietz,R,73,195,0.261,66,Right
314,Dick Green,R,70,180,0.24,80,Right
315,Dick Howser,R,68,155,0.248,16,Right
316,Dick McAuliffe,L,71,176,0.247,197,Left
317,Dick Nen,L,74,200,0.224,21,Left
318,Dick Phillips,L,72,180,0.229,12,Left
319,Dick Ruthven,R,75,190,0.183,1,Right
320,Dick Simpson,R,76,176,0.207,15,Right
321,Dick Tracewski,R,71,160,0.213,8,Right
322,Doc Edwards,R,74,215,0.238,15,Right
323,Domingo Ramos,R,70,154,0.24,8,Right
324,Don Baylor,R,73,190,0.26,338,Right
325,Don Buford,B,67,160,0.264,93,Both
326,Don Cooper,R,73,185,0,0,Right
327,Don Gordon,R,73,175,0,0,Right
328,Don Hahn,R,73,180,0.236,7,Right
329,Don Kainer,R,75,205,0,0,Right
330,Don Kessinger,B,73,170,0.252,14,Both
331,Don Leppert,R,74,220,0.229,15,Right
332,Don Lock,R,74,195,0.238,122,Right
333,Don Mason,L,71,160,0.205,3,Left
334,Don Mincher,L,75,205,0.249,200,Left
335,Don Money,R,73,170,0.261,176,Right
336,Don Sutton,R,73,185,0.144,0,Right
337,Don Welchel,R,76,205,0,0,Right
338,Don Wert,R,70,162,0.242,77,Right
339,Don Wilson,R,74,195,0.146,1,Right
340,Donn Clendenon,R,76,209,0.274,159,Right
341,Doug Ault,R,75,200,0.236,17,Right
342,Doug Camilli,R,71,195,0.199,18,Right
343,Doug Clemens,L,72,180,0.229,12,Left
344,Doug DeCinces,R,74,190,0.259,237,Right
345,Doug Flynn,R,71,165,0.238,7,Right
346,Doug Frobel,L,76,196,0.201,20,Left
347,Doug Griffin,R,72,160,0.245,7,Right
348,Doug Rader,R,74,208,0.251,155,Right
349,Duane Josephson,R,72,190,0.258,23,Right
350,Duane Kuiper,L,72,175,0.271,1,Left
351,Duane Walker,L,72,185,0.229,24,Left
352,Duffy Dyer,R,72,187,0.221,30,Right
353,Duke Sims,L,74,197,0.239,100,Left
354,Dusty Baker,R,74,183,0.278,242,Right
355,Dwayne Murphy,L,73,185,0.246,166,Left
356,Earl Williams,R,75,215,0.247,138,Right
357,Ed Brinkman,R,72,170,0.224,60,Right
358,Ed Charles,R,70,170,0.263,86,Right
359,Ed Crosby,L,74,175,0.22,0,Left
360,Ed Goodson,L,75,180,0.26,30,Left
361,Ed Herrmann,L,73,195,0.24,80,Left
362,Ed Hodge,L,74,192,0,0,Left
363,Ed Kirkpatrick,L,71,195,0.238,85,Left
364,Ed Kranepool,L,75,205,0.261,118,Left
365,Ed Ott,L,70,190,0.259,33,Left
366,Ed Romero,R,71,160,0.247,8,Right
367,Ed Spiezio,R,71,180,0.238,39,Right
368,Ed Stroud,L,71,180,0.237,14,Left
369,Eddie Leon,R,72,170,0.236,24,Right
370,Eddie Milner,L,71,173,0.253,42,Left
371,Elio Chacon,R,69,160,0.232,4,Right
372,Ellie Hendricks,L,73,175,0.22,62,Left
373,Ellie Rodriguez,R,71,185,0.245,16,Right
374,Elliott Maddox,R,71,180,0.261,18,Right
375,Ellis Valentine,R,76,205,0.278,123,Right
376,Enos Cabell,R,76,170,0.277,60,Right
377,Enzo Hernandez,R,68,155,0.224,2,Right
378,Eric Hetzel,R,75,175,0,0,Right
379,Eric Soderholm,R,71,187,0.264,102,Right
380,Eric Wilkins,R,73,190,0,0,Right
381,Felix Millan,R,71,172,0.279,22,Right
382,Felix Torres,R,71,165,0.254,27,Right
383,Fergie Jenkins,R,77,205,0.165,13,Right
384,Fernando Arroyo,R,74,180,0,0,Right
385,Fernando Gonzalez,R,70,165,0.235,17,Right
386,Floyd Rayford,R,70,190,0.244,38,Right
387,Floyd Robinson,L,69,175,0.283,67,Left
388,Fran Healy,R,77,220,0.25,20,Right
389,Francisco Barrios,R,71,155,0,0,Right
390,Frank Dimichele,R,75,205,0,0,Right
391,Frank Duffy,R,73,180,0.232,26,Right
392,Frank Eufemia,R,71,185,0,0,Right
393,Frank Fernandez,R,72,185,0.199,39,Right
394,Frank Quilici,R,73,170,0.214,5,Right
395,Frank Taveras,R,72,155,0.255,2,Right
396,Frank Tepedino,L,71,185,0.241,6,Left
397,Frank White,R,71,165,0.255,160,Right
398,Fred Howard,R,75,190,0,0,Right
399,Fred Kendall,R,73,185,0.234,31,Right
400,Fred Lynn,L,73,185,0.283,306,Left
401,Fred Norman,B,68,155,0.125,0,Both
402,Fred Stanley,R,70,165,0.216,10,Right
403,Fred Whitfield,L,73,190,0.253,108,Left
404,Freddie Patek,R,65,148,0.242,41,Right
405,Fritz Peterson,B,72,185,0.159,2,Both
406,Gail Hopkins,L,70,198,0.266,25,Left
407,Garry Hancock,L,72,175,0.247,12,Left
408,Garry Maddox,R,75,175,0.285,117,Right
409,Garth Iorg,R,71,170,0.258,20,Right
410,Gary Alexander,R,74,195,0.23,55,Right
411,Gary Allenson,R,71,185,0.221,19,Right
412,Gary Beare,R,76,205,0,0,Right
413,Gary Christenson,L,77,200,0,0,Left
414,Gary Gray,R,72,187,0.24,24,Right
415,Gary Ignasiak,R,71,185,0,0,Right
416,Gary Lance,B,75,195,0,0,Both
417,Gary Matthews,R,74,185,0.281,234,Right
418,Gary Mielke,R,75,185,0,0,Right
419,Gary Nolan,R,74,197,0.138,1,Right
420,Gary Roenicke,R,75,205,0.247,121,Right
421,Gary Sutherland,R,72,185,0.243,24,Right
422,Gary Thomasson,L,73,180,0.249,61,Left
423,Gary Ward,R,74,195,0.276,130,Right
424,Gary Wheelock,R,75,205,0,0,Right
425,Gary Woods,R,74,185,0.243,13,Right
426,Gates Brown,L,71,220,0.257,84,Left
427,Gaylord Perry,R,76,205,0.131,6,Right
428,Gene Alley,R,70,160,0.254,55,Right
429,Gene Clines,R,69,170,0.277,5,Right
430,Gene Locklear,L,70,165,0.274,9,Left
431,Gene Michael,B,74,183,0.229,15,Both
432,Gene Richards,L,72,175,0.29,26,Left
433,Gene Tenace,R,72,190,0.241,201,Right
434,George Foster,R,73,180,0.274,348,Right
435,George Hendrick,R,75,195,0.278,267,Right
436,George Mitterwald,R,74,195,0.236,76,Right
437,George Scott,R,74,200,0.268,271,Right
438,George Smith,R,70,170,0.205,9,Right
439,George Vukovich,L,72,198,0.268,27,Left
440,George Wright,B,71,180,0.245,42,Both
441,Gil Garrido,R,69,150,0.237,1,Right
442,Gil Patterson,R,73,185,0,0,Right
443,Glen Cook,R,71,180,0,0,Right
444,Glenn Adams,L,73,180,0.28,34,Left
445,Glenn Beckert,R,73,190,0.283,22,Right
446,Glenn Borgmann,R,76,210,0.229,16,Right
447,Glenn Burke,R,72,195,0.237,2,Right
448,Glenn Hoffman,R,73,175,0.242,23,Right
449,Glenn Hubbard,R,69,150,0.244,70,Right
450,Gorman Heimueller,L,76,195,0,0,Left
451,Gorman Thomas,R,74,210,0.225,268,Right
452,Graig Nettles,L,72,180,0.248,390,Left
453,Greg Erardi,R,73,190,0,0,Right
454,Greg Gross,L,70,160,0.287,7,Left
455,Greg Luzinski,R,73,220,0.276,307,Right
456,Greg Pryor,R,72,180,0.25,14,Right
457,Greg Thayer,R,71,182,0,0,Right
458,Greg Walker,L,75,205,0.26,113,Left
459,Hal Breeden,R,74,200,0.243,21,Right
460,Hal King,L,73,200,0.214,24,Left
461,Hal Lanier,R,74,180,0.228,8,Right
462,Hal McRae,R,71,180,0.29,191,Right
463,Hank Allen,R,72,190,0.241,6,Right
464,Harry Spilman,L,73,180,0.237,18,Left
465,Hector Cruz,R,71,170,0.225,39,Right
466,Hector Torres,R,72,175,0.216,18,Right
467,Horace Clarke,B,69,170,0.256,27,Both
468,Hosken Powell,L,73,175,0.259,17,Left
469,Howard Bailey,R,72,195,0,0,Right
470,Howie Goss,R,76,204,0.216,11,Right
471,Ike Brookens,R,77,170,0,0,Right
472,Ike Brown,R,72,190,0.256,20,Right
473,Israel Sanchez,L,69,170,0,0,Left
474,Ivan DeJesus,R,71,175,0.254,21,Right
475,Ivan Murrell,R,74,195,0.236,33,Right
476,J.R. Richard,R,80,222,0.168,10,Right
477,Jack Billingham,R,76,195,0.111,0,Right
478,Jack Brohamer,L,70,165,0.245,30,Left
479,Jack Hardy,R,74,175,0,0,Right
480,Jack Heidemann,R,72,175,0.211,9,Right
481,Jack Hiatt,R,74,190,0.251,22,Right
482,Jack Lazorko,R,71,200,0,0,Right
483,Jack Perconte,L,70,160,0.27,2,Left
484,Jackie Gutierrez,R,71,175,0.237,4,Right
485,Jackie Hernandez,R,71,165,0.208,12,Right
486,Jaime Cocanower,R,76,200,0,0,Right
487,Jake Gibbs,L,72,180,0.233,25,Left
488,Jake Wood,R,73,163,0.25,35,Right
489,Jason Thompson,L,76,200,0.261,208,Left
490,Jay Johnstone,L,73,175,0.267,102,Left
491,Jay Pettibone,R,76,182,0,0,Right
492,Jeff Barkley,B,75,185,0,0,Both
493,Jeff Bettendorf,R,75,180,0,0,Right
494,Jeff Burroughs,R,73,200,0.261,240,Right
495,Jeff Byrd,R,75,195,0,0,Right
496,Jeff Holly,L,77,210,0,0,Left
497,Jeff Jones,R,75,210,0,0,Right
498,Jeff Newman,R,74,215,0.224,63,Right
499,Jeff Peterek,R,74,195,0,0,Right
500,Jeff Richardson,R,75,185,0,0,Right
501,Jeff Rineer,L,76,205,0,0,Left
502,Jeff Schattinger,L,77,200,0,0,Left
503,Jeff Schneider,B,75,195,0,0,Both
504,Jeff Sellers,R,73,175,0,0,Right
505,Jeff Shaver,R,75,195,0,0,Right
506,Jeff Stone,L,72,175,0.277,11,Left
507,Jeff Torborg,R,72,195,0.214,8,Right
508,Jeff Twitty,L,74,185,0,0,Left
509,Jeffrey Leonard,R,74,200,0.266,144,Right
510,Jerry Augustine,L,72,183,0,0,Left
511,Jerry Buchek,R,71,185,0.22,22,Right
512,Jerry Dybzinski,R,74,180,0.234,3,Right
513,Jerry Garvin,L,75,195,0,0,Left
514,Jerry Grote,R,70,185,0.252,39,Right
515,Jerry Hairston,B,70,170,0.258,30,Both
516,Jerry Kenney,L,73,170,0.237,7,Left
517,Jerry Koosman,R,74,205,0.119,2,Right
518,Jerry Kutzler,L,73,175,0,0,Left
519,Jerry Martin,R,73,195,0.251,85,Right
520,Jerry May,R,74,190,0.234,15,Right
521,Jerry McNertney,R,72,180,0.237,27,Right
522,Jerry Morales,R,70,155,0.259,95,Right
523,Jerry Moses,R,75,210,0.251,25,Right
524,Jerry Mumphrey,B,74,185,0.289,70,Both
525,Jerry Narron,L,75,205,0.211,21,Left
526,Jerry Remy,L,69,165,0.275,7,Left
527,Jerry Reuss,L,77,200,0.167,1,Left
528,Jerry Royster,R,72,165,0.249,40,Right
529,Jerry Terrell,R,71,165,0.253,4,Right
530,Jerry Turner,L,69,180,0.257,45,Left
531,Jerry Ujdur,R,73,195,0,0,Right
532,Jerry White,B,70,164,0.253,21,Both
533,Jerry Zimmerman,R,74,185,0.204,3,Right
534,Jesse Gonder,L,70,180,0.251,26,Left
535,Jesus Alou,R,74,190,0.28,32,Right
536,Jim Anderson,R,72,170,0.218,13,Right
537,Jim Barr,R,75,205,0.162,1,Right
538,Jim Beauchamp,R,74,190,0.231,14,Right
539,Jim Burton,R,75,195,0,0,Right
540,Jim Campbell,L,71,175,0,0,Left
541,Jim Dorsey,R,79,190,0,0,Right
542,Jim Dwyer,L,70,165,0.26,77,Left
543,Jim Essian,R,74,195,0.244,33,Right
544,Jim Fairey,L,70,190,0.235,7,Left
545,Jim Farr,R,73,195,0,0,Right
546,Jim Fregosi,R,73,190,0.265,151,Right
547,Jim French,L,68,180,0.196,5,Left
548,Jim Gideon,R,75,190,0,0,Right
549,Jim Gosger,L,71,185,0.226,30,Left
550,Jim Hickman,R,75,192,0.252,159,Right
551,Jim Holt,L,72,180,0.265,19,Left
552,Jim Lefebvre,B,72,180,0.251,74,Both
553,Jim Lewis,R,75,190,0,0,Right
554,Jim Lonborg,R,77,200,0.136,3,Right
555,Jim Lyttle,L,72,180,0.248,9,Left
556,Jim Maloney,L,74,190,0.201,7,Left
557,Jim Mason,L,74,185,0.203,12,Left
558,Jim Morrison,R,71,175,0.26,112,Right
559,Jim Nettles,L,72,186,0.22,16,Left
560,Jim Norris,L,70,175,0.264,7,Left
561,Jim Northrup,L,75,190,0.267,153,Left
562,Jim Pankovits,R,70,170,0.25,9,Right
